filename,class,source,author,license,license_url,source_url,commons_title,description
ganesh_pol/13264-Jaipur_49214017782.jpg,ganesh_pol,Wikimedia Commons,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/7138083@N04"">xiquinhosilva</a>",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:13264-Jaipur_(49214017782).jpg,File:13264-Jaipur (49214017782).jpg,13264-Jaipur
ganesh_pol/13272-Jaipur_49214019822.jpg,ganesh_pol,Wikimedia Commons,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/7138083@N04"">xiquinhosilva</a>",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:13272-Jaipur_(49214019822).jpg,File:13272-Jaipur (49214019822).jpg,13272-Jaipur
ganesh_pol/1985.04.15_31_Fort_Amber_India.jpg,ganesh_pol,Wikimedia Commons,"<a href=""//commons.wikimedia.org/wiki/User:Hermann_Luyken"" title=""User:Hermann Luyken"">Hermann Luyken</a>",CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,https://commons.wikimedia.org/wiki/File:1985.04.15_31_Fort_Amber_India.jpg,File:1985.04.15 31 Fort Amber India.jpg,"Fort at Amber, India"
ganesh_pol/A_beautiful_wall_painting_in_a_photo_frame._-_panoramio.jpg,ganesh_pol,Wikimedia Commons,"<a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/20161021152340/http://www.panoramio.com/user/5938289?with_photo_id=58148111"">pradeep kumar chatte…</a>",CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://commons.wikimedia.org/wiki/File:A_beautiful_wall_painting_in_a_photo_frame._-_panoramio.jpg,File:A beautiful wall painting in a photo frame. - panoramio.jpg,A beautiful wall painting in a photo frame.
jaleb_chowk/Amber_Fort_by_Ameya_Clicks.jpg,jaleb_chowk,Wikimedia Commons,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Ameya_Clicks&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Ameya Clicks (page does not exist)"">Ameya Clicks</a>",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Amber_Fort_by_Ameya_Clicks.jpg,File:Amber Fort by Ameya Clicks.jpg,"elephant rider in Jaleb Chowk (<a href=""//commons.wikimedia.org/wiki/Amber_Fort"" title=""Amber Fort"">Amber Fort</a>), Rajasthan <span class=""mw-image-border"" typeof=""mw:File""><a href=""//commons.wikimedia.org/wiki/File:Flag_of_India.svg"" class=""mw-file-description"" title=""India""><img alt=""India"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_India.svg/40px-Flag_of_India.svg.png?utm_source=commons.wikimedia.org&amp;utm_campaign=parser&amp;utm_content=thumbnail"" decoding=""async"" loading=""lazy"" width=""22"" height=""15"" class=""mw-file-element"" srcset=""https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_India.svg/60px-Flag_of_India.svg.png?utm_source=commons.wikimedia.org&amp;utm_campaign=parser&amp;utm_content=thumbnail 2x"" data-file-width=""900"" data-file-height=""600""></a></span> <a href=""//commons.wikimedia.org/wiki/India"" title=""India""><span title=""country in South Asia"">India</span></a>"
jaleb_chowk/Amber_Palace_courtyard.jpg,jaleb_chowk,Wikimedia Commons,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Sreesarkar&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Sreesarkar (page does not exist)"">Sreesarkar</a>",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Amber_Palace_courtyard.jpg,File:Amber Palace courtyard.jpg,"This is a photo of <span lang=""en"" dir=""ltr""><a href=""https://en.wikipedia.org/wiki/Archaeological_Survey_of_India"" class=""extiw"" title=""en:Archaeological Survey of India""><span lang=""en"" dir=""ltr"">ASI monument</span></a></span> number"
diwan_e_khas/AMER_FORT_Sheesh_Mahal.jpg,diwan_e_khas,Wikimedia Commons,"<a href=""//commons.wikimedia.org/w/index.php?title=User:K.vishnupranay&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:K.vishnupranay (page does not exist)"">K.vishnupranay</a>",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:AMER_FORT_Sheesh_Mahal.jpg,File:AMER FORT Sheesh Mahal.jpg,
diwan_e_khas/Amber_panorámicas_2002_03.jpg,diwan_e_khas,Wikimedia Commons,"<a href=""//commons.wikimedia.org/wiki/User:LBM1948"" title=""User:LBM1948"">LBM1948</a>",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"https://commons.wikimedia.org/wiki/File:Amber,_panor%C3%A1micas_(2002)_03.jpg","File:Amber, panorámicas (2002) 03.jpg","Diwan-i.Khas; Amber Fort. Jaipur, Rajasthan, India"
diwan_e_khas/Amber_022.jpg,diwan_e_khas,Wikimedia Commons,"<a href=""//commons.wikimedia.org/wiki/User:Anupamg"" title=""User:Anupamg"">Anupamg</a>",CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Amber_022.jpg,File:Amber 022.jpg,"This is a photo of <span lang=""en"" dir=""ltr""><a href=""https://en.wikipedia.org/wiki/Archaeological_Survey_of_India"" class=""extiw"" title=""en:Archaeological Survey of India""><span lang=""en"" dir=""ltr"">ASI monument</span></a></span> number"
diwan_e_khas/Amber_023.jpg,diwan_e_khas,Wikimedia Commons,"<a href=""//commons.wikimedia.org/wiki/User:Anupamg"" title=""User:Anupamg"">Anupamg</a>",CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Amber_023.jpg,File:Amber 023.jpg,"This is a photo of <span lang=""en"" dir=""ltr""><a href=""https://en.wikipedia.org/wiki/Archaeological_Survey_of_India"" class=""extiw"" title=""en:Archaeological Survey of India""><span lang=""en"" dir=""ltr"">ASI monument</span></a></span> number"
diwan_e_khas/Amber_024.jpg,diwan_e_khas,Wikimedia Commons,"<a href=""//commons.wikimedia.org/wiki/User:Anupamg"" title=""User:Anupamg"">Anupamg</a>",CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Amber_024.jpg,File:Amber 024.jpg,"This is a photo of <span lang=""en"" dir=""ltr""><a href=""https://en.wikipedia.org/wiki/Archaeological_Survey_of_India"" class=""extiw"" title=""en:Archaeological Survey of India""><span lang=""en"" dir=""ltr"">ASI monument</span></a></span> number"
diwan_e_khas/Amber_Fort-Jaipur-India0010.JPG,diwan_e_khas,Wikimedia Commons,"<bdi><a href=""https://www.wikidata.org/wiki/Q28147777"" class=""extiw"" title=""d:Q28147777""><span title=""Spanish photographer"">Diego Delso</span></a></bdi>",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Amber_Fort-Jaipur-India0010.JPG,File:Amber Fort-Jaipur-India0010.JPG,"Amber Fort, Jaipur, India. It is also known as Amer Fort"
zenana/Amer_Fort_viewpoints.JPG,zenana,Wikimedia Commons,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Colourking13&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Colourking13 (page does not exist)"">Rangarajan V </a>",CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Amer_Fort_viewpoints.JPG,File:Amer Fort viewpoints.JPG,"This is a photo of <span lang=""en"" dir=""ltr""><a href=""https://en.wikipedia.org/wiki/Archaeological_Survey_of_India"" class=""extiw"" title=""en:Archaeological Survey of India""><span lang=""en"" dir=""ltr"">ASI monument</span></a></span> number"
zenana/Beautiful_Amber_Fort.jpg,zenana,Wikimedia Commons,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Reeturajesh&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Reeturajesh (page does not exist)"">Reeturajesh</a>",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Beautiful_Amber_Fort.jpg,File:Beautiful Amber Fort.jpg,"The picture is taken inside the Amber Fort which is located in Amer, Jaipur (India). The fort is known for its artistic style, blending both Hindu and Rajput elements."
zenana/India-6701_-_Flickr_-_archer10_Dennis.jpg,zenana,Wikimedia Commons,"<bdi><a href=""https://www.wikidata.org/wiki/Q122977591"" class=""extiw"" title=""d:Q122977591""><span title=""photographer"">Dennis G. Jarvis</span></a></bdi>",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,https://commons.wikimedia.org/wiki/File:India-6701_-_Flickr_-_archer10_(Dennis).jpg,File:India-6701 - Flickr - archer10 (Dennis).jpg,India-6701
zenana/India-6703_-_Flickr_-_archer10_Dennis.jpg,zenana,Wikimedia Commons,"<bdi><a href=""https://www.wikidata.org/wiki/Q122977591"" class=""extiw"" title=""d:Q122977591""><span title=""photographer"">Dennis G. Jarvis</span></a></bdi>",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,https://commons.wikimedia.org/wiki/File:India-6703_-_Flickr_-_archer10_(Dennis).jpg,File:India-6703 - Flickr - archer10 (Dennis).jpg,India-6703
zenana/India-6718_-_Flickr_-_archer10_Dennis.jpg,zenana,Wikimedia Commons,"<bdi><a href=""https://www.wikidata.org/wiki/Q122977591"" class=""extiw"" title=""d:Q122977591""><span title=""photographer"">Dennis G. Jarvis</span></a></bdi>",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,https://commons.wikimedia.org/wiki/File:India-6718_-_Flickr_-_archer10_(Dennis).jpg,File:India-6718 - Flickr - archer10 (Dennis).jpg,India-6718
